,Prediction,Won_Series,Seed_Diff,Pyt_Win_Pct_Diff,eFG..Misc,TOV..Misc,ORB..Misc,FT.FGA.Misc,Opp.eFG..Misc,Opp.TOV..Misc,DRB..Misc,eFG..Misc_._Opponent,TOV..Misc_._Opponent,ORB..Misc_._Opponent,FT.FGA.Misc_._Opponent,Opp.eFG..Misc_._Opponent,Opp.TOV..Misc_._Opponent,DRB..Misc_._Opponent,Opp.FT.FGA.Misc_._Opponent,id
133,True,1,4,0.0365853658536586,0.512,14.2,27.5,0.29,0.485,14.1,71.7,0.504,12.1,26.6,0.22399999999999998,0.493,12.3,74.6,0.225,/teams/DEN/2009.htmlSemifinals
134,True,1,2,0.12121212121212101,0.505,14.5,26.6,0.23800000000000002,0.479,15.8,73.9,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.21600000000000003,/teams/MIA/2012.htmlFinals
135,True,1,3,0.0853658536585366,0.494,13.6,34.0,0.24,0.478,13.5,70.6,0.5,15.5,31.0,0.268,0.485,15.2,66.4,0.22699999999999998,/teams/CHI/1988.htmlFirst
136,True,0,3,0.134146341463415,0.469,13.7,29.0,0.263,0.45799999999999996,14.3,72.3,0.47,13.4,23.6,0.22699999999999998,0.47100000000000003,15.1,72.5,0.242,/teams/IND/2003.htmlFirst
137,True,1,3,0.329268292682927,0.522,14.7,26.6,0.267,0.457,15.2,74.4,0.48,13.1,30.4,0.221,0.494,12.9,75.9,0.24,/teams/BOS/2008.htmlSemifinals
138,True,1,5,0.0609756097560975,0.488,14.7,34.2,0.27,0.47700000000000004,15.0,68.7,0.478,11.2,29.1,0.217,0.501,15.2,71.3,0.264,/teams/SAS/1990.htmlFirst
139,True,0,5,-0.0731707317073171,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.515,12.9,26.8,0.21899999999999997,0.483,12.1,76.3,0.214,/teams/DAL/2010.htmlFirst
140,True,0,3,0.02,0.456,15.4,32.6,0.222,0.473,16.7,70.8,0.439,15.3,34.2,0.276,0.45399999999999996,17.1,69.8,0.249,/teams/ORL/1999.htmlFirst
141,True,1,7,0.17073170731707302,0.532,14.0,29.0,0.247,0.47100000000000003,12.0,67.6,0.478,13.4,35.0,0.245,0.491,13.8,70.0,0.251,/teams/BOS/1987.htmlFirst
142,True,1,7,0.304878048780488,0.552,13.7,22.2,0.22399999999999998,0.48700000000000004,14.8,73.0,0.47600000000000003,12.7,27.9,0.174,0.49200000000000005,14.4,71.3,0.201,/teams/MIA/2013.htmlFirst
143,True,1,7,0.43902439024390205,0.518,11.8,35.1,0.221,0.47600000000000003,14.1,69.3,0.479,14.6,33.0,0.26,0.508,13.9,67.6,0.235,/teams/CHI/1992.htmlFirst
144,True,1,4,0.0365853658536586,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.493,13.0,28.9,0.218,0.502,15.7,72.5,0.228,/teams/OKC/2011.htmlSemifinals
145,True,1,3,0.134146341463415,0.49,16.1,37.3,0.302,0.499,15.6,66.7,0.47100000000000003,14.2,29.1,0.23800000000000002,0.47200000000000003,14.2,66.1,0.22399999999999998,/teams/PHI/1986.htmlFirst
146,True,1,3,0.18,0.479,14.6,30.4,0.259,0.423,13.8,69.5,0.498,14.1,30.6,0.261,0.46799999999999997,13.3,70.2,0.267,/teams/SAS/1999.htmlSemifinals
147,True,1,4,0.146341463414634,0.509,13.4,33.8,0.259,0.473,14.4,70.4,0.503,14.6,27.6,0.298,0.473,13.7,69.2,0.23,/teams/POR/1991.htmlSemifinals
